peak	seqnames	start	end	annotation	distanceToTSS	SYMBOL	GENENAME
chr16:25361563-25362063	chr16	25361563	25362063	Intron (ENSMUST00000056087.3/71338, intron 4 of 5)	74742	Tprg1	transformation related protein 63 regulated 1
chr16:26049522-26050022	chr16	26049522	26050022	Intron (ENSMUST00000039990.5/210530, intron 1 of 14)	-34929	P3h2	prolyl 3-hydroxylase 2
chr16:26630760-26631260	chr16	26630760	26631260	Intron (ENSMUST00000096129.8/16180, intron 2 of 10)	6604	Il1rap	interleukin 1 receptor accessory protein
chr16:31807019-31807519	chr16	31807019	31807519	Intron (ENSMUST00000115205.8/13383, intron 13 of 25)	15248	Dlg1	discs large MAGUK scaffold protein 1
chr16:33594604-33595104	chr16	33594604	33595104	Promoter (1-2kb)	-1458	Slc12a8	solute carrier family 12 (potassium/chloride transporters), member 8
chr16:35857503-35858003	chr16	35857503	35858003	Exon (ENSMUST00000042665.8/547253, exon 6 of 17)	13379	Parp14	poly (ADP-ribose) polymerase family, member 14
chr16:37110753-37111253	chr16	37110753	37111253	Distal Intergenic	24838	Polq	polymerase (DNA directed), theta
chr16:37504336-37504836	chr16	37504336	37504836	Distal Intergenic	34940	Gtf2e1	general transcription factor II E, polypeptide 1 (alpha subunit)
chr16:37591211-37591711	chr16	37591211	37591711	Intron (ENSMUST00000160847.1/15233, intron 3 of 13)	10929	Hgd	homogentisate 1, 2-dioxygenase
chr16:45370958-45371458	chr16	45370958	45371458	Distal Intergenic	28854	Cd200	CD200 molecule
chr16:49196540-49197040	chr16	49196540	49197040	Exon (ENSMUST00000168680.1/667772, exon 40 of 41)	139054	Myh15	myosin, heavy chain 15
chr16:49923272-49923772	chr16	49923272	49923772	Distal Intergenic	56439	Cd47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)
chr16:55631856-55632356	chr16	55631856	55632356	Distal Intergenic	137125	Mir5118	microRNA 5118
chr16:55754039-55754539	chr16	55754039	55754539	Distal Intergenic	67599	Nfkbiz	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta
chr16:55756937-55757437	chr16	55756937	55757437	Distal Intergenic	64701	Nfkbiz	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta
chr16:57478563-57479063	chr16	57478563	57479063	Intron (ENSMUST00000159816.7/78749, intron 1 of 4)	-70179	Filip1l	filamin A interacting protein 1-like
chr16:57487625-57488125	chr16	57487625	57488125	Intron (ENSMUST00000159816.7/78749, intron 1 of 4)	-61117	Filip1l	filamin A interacting protein 1-like
chr16:58389354-58389854	chr16	58389354	58389854	Distal Intergenic	-18589	Dcbld2	discoidin, CUB and LCCL domain containing 2
chr16:63958267-63958767	chr16	63958267	63958767	Distal Intergenic	-94092	Epha3	Eph receptor A3
chr16:70760127-70760627	chr16	70760127	70760627	Distal Intergenic	142088	D16Ertd519e	DNA segment, Chr 16, ERATO Doi 519, expressed
chr16:70799413-70799913	chr16	70799413	70799913	Distal Intergenic	181374	D16Ertd519e	DNA segment, Chr 16, ERATO Doi 519, expressed
chr16:71583028-71583528	chr16	71583028	71583528	Distal Intergenic	333144	4930567J20Rik	RIKEN cDNA 4930567J20 gene
chr16:73512571-73513071	chr16	73512571	73513071	Distal Intergenic	386814	Robo2	roundabout guidance receptor 2
chr16:73555783-73556283	chr16	73555783	73556283	Distal Intergenic	343602	Robo2	roundabout guidance receptor 2
chr16:74061795-74062295	chr16	74061795	74062295	Exon (ENSMUST00000231944.1/ENSMUST00000231944.1, exon 1 of 1)	-33906	Robo2	roundabout guidance receptor 2
chr16:76162679-76163179	chr16	76162679	76163179	Distal Intergenic	40024	4930578N18Rik	RIKEN cDNA 4930578N18 gene
chr16:79720737-79721237	chr16	79720737	79721237	Distal Intergenic	-278139	1700066C05Rik	RIKEN cDNA 1700066C05 gene
chr16:82572700-82573200	chr16	82572700	82573200	Distal Intergenic	1107077	Ncam2	neural cell adhesion molecule 2
chr16:83253053-83253553	chr16	83253053	83253553	Distal Intergenic	-1117590	4930553E22Rik	RIKEN cDNA 4930553E22 gene
chr16:83316358-83316858	chr16	83316358	83316858	Distal Intergenic	-1054285	4930553E22Rik	RIKEN cDNA 4930553E22 gene
chr16:83420878-83421378	chr16	83420878	83421378	Distal Intergenic	-949765	4930553E22Rik	RIKEN cDNA 4930553E22 gene
chr16:84522453-84522953	chr16	84522453	84522953	3' UTR	151310	4930553E22Rik	RIKEN cDNA 4930553E22 gene
chr16:93514445-93514945	chr16	93514445	93514945	Distal Intergenic	-55573	1700029J03Rik	RIKEN cDNA 1700029J03 gene
chr16:94436597-94437097	chr16	94436597	94437097	Promoter (2-3kb)	-2996	Ttc3	tetratricopeptide repeat domain 3
chr16:95190935-95191435	chr16	95190935	95191435	Intron (ENSMUST00000232091.1/102633941, intron 3 of 4)	-66123	Kcnj15	potassium inwardly-rectifying channel, subfamily J, member 15
chr16:95714832-95715332	chr16	95714832	95715332	Promoter (<=1kb)	-522	Ets2	Ets proto-oncogene 2, transcription factor
chr16:96901375-96901875	chr16	96901375	96901875	Intron (ENSMUST00000056102.8/13508, intron 3 of 32)	268877	Dscam	DS cell adhesion molecule
chr17:6207135-6207635	chr17	6207135	6207635	Intron (ENSMUST00000149756.7/68842, intron 6 of 13)	-25017	Tulp4	TUB like protein 4
chr17:7696991-7697491	chr17	7696991	7697491	Distal Intergenic	63524	Fndc1	fibronectin type III domain containing 1
chr17:11510832-11511332	chr17	11510832	11511332	Intron (ENSMUST00000066658.12/50873, intron 6 of 6)	207185	Prkn	parkin RBR E3 ubiquitin protein ligase
chr17:17795087-17795587	chr17	17795087	17795587	Distal Intergenic	-31571	Spaca6	sperm acrosome associated 6
chr17:17889871-17890371	chr17	17889871	17890371	Promoter (1-2kb)	1983	Fpr2	formyl peptide receptor 2
chr17:24057247-24057747	chr17	24057247	24057747	Promoter (2-3kb)	2570	Kctd5	potassium channel tetramerisation domain containing 5
chr17:28078234-28078734	chr17	28078234	28078734	Promoter (<=1kb)	0	Tcp11	t-complex protein 11
chr17:29981441-29981941	chr17	29981441	29981941	Exon (ENSMUST00000234695.1/ENSMUST00000234695.1, exon 2 of 2)	-11354	Mdga1	MAM domain containing glycosylphosphatidylinositol anchor 1
chr17:36978993-36979493	chr17	36978993	36979493	Promoter (1-2kb)	1724	2410137M14Rik	RIKEN cDNA 2410137M14 gene
chr17:40858570-40859070	chr17	40858570	40859070	Intron (ENSMUST00000182867.1/ENSMUST00000182867.1, intron 2 of 7)	21488	9130008F23Rik	RIKEN cDNA 9130008F23 gene
chr17:42345825-42346325	chr17	42345825	42346325	Intron (ENSMUST00000048691.5/627626, intron 2 of 3)	29225	Ptchd4	patched domain containing 4
chr17:42363498-42363998	chr17	42363498	42363998	Intron (ENSMUST00000048691.5/627626, intron 2 of 3)	46898	Ptchd4	patched domain containing 4
chr17:42424483-42424983	chr17	42424483	42424983	Intron (ENSMUST00000048691.5/627626, intron 3 of 3)	107883	Ptchd4	patched domain containing 4
chr17:42911785-42912285	chr17	42911785	42912285	Distal Intergenic	-35120	Cd2ap	CD2-associated protein
chr17:43719132-43719632	chr17	43719132	43719632	Intron (ENSMUST00000170988.1/56050, intron 7 of 11)	-12311	Cyp39a1	cytochrome P450, family 39, subfamily a, polypeptide 1
chr17:44653298-44653798	chr17	44653298	44653798	Intron (ENSMUST00000162816.7/12393, intron 3 of 5)	80895	Runx2	runt related transcription factor 2
chr17:50480681-50481181	chr17	50480681	50481181	Distal Intergenic	-28222	Plcl2	phospholipase C-like 2
chr17:54158699-54159199	chr17	54158699	54159199	Distal Intergenic	120005	Slc5a7	solute carrier family 5 (choline transporter), member 7
chr17:56051384-56051884	chr17	56051384	56051884	Intron (ENSMUST00000002914.9/27221, intron 3 of 13)	4570	Chaf1a	chromatin assembly factor 1, subunit A
chr17:56552681-56553181	chr17	56552681	56553181	Promoter (1-2kb)	1206	Tincr	TINCR ubiquitin domain containing
chr17:57890103-57890603	chr17	57890103	57890603	Intron (ENSMUST00000076038.6/620292, intron 2 of 23)	120533	Cntnap5c	contactin associated protein-like 5C
chr17:61665220-61665720	chr17	61665220	61665720	Distal Intergenic	1215424	Efna5	ephrin A5
chr17:63909108-63909608	chr17	63909108	63909608	Intron (ENSMUST00000233225.1/14158, intron 2 of 4)	13086	Fer	FER tyrosine kinase
chr17:66686703-66687203	chr17	66686703	66687203	Intron (ENSMUST00000037974.9/19274, intron 29 of 32)	6830	Ptprm	protein tyrosine phosphatase receptor type M
chr17:69045979-69046479	chr17	69045979	69046479	Distal Intergenic	-29204	Epb41l3	erythrocyte membrane protein band 4.1 like 3
chr17:69364751-69365251	chr17	69364751	69365251	Distal Intergenic	-17799	Zbtb14	zinc finger and BTB domain containing 14
chr17:69466789-69467289	chr17	69466789	69467289	Intron (ENSMUST00000169935.1/320722, intron 1 of 1)	26955	Akain1	A kinase anchor inhibitor 1
chr17:71134855-71135355	chr17	71134855	71135355	Distal Intergenic	13951	Myom1	myomesin 1
chr17:71319089-71319589	chr17	71319089	71319589	Intron (ENSMUST00000233188.1/ENSMUST00000233188.1, intron 1 of 2)	-7533	Emilin2	elastin microfibril interfacer 2
chr17:73186260-73186760	chr17	73186260	73186760	Intron (ENSMUST00000149064.8/225010, intron 3 of 4)	-17390	Lclat1	lysocardiolipin acyltransferase 1
chr17:73842802-73843302	chr17	73842802	73843302	Distal Intergenic	37961	Ehd3	EH-domain containing 3
chr17:74931593-74932093	chr17	74931593	74932093	Distal Intergenic	69672	Ttc27	tetratricopeptide repeat domain 27
chr17:77629397-77629897	chr17	77629397	77629897	Distal Intergenic	-570351	Crim1	cysteine rich transmembrane BMP regulator 1
chr17:78287758-78288258	chr17	78287758	78288258	Intron (ENSMUST00000112498.2/50766, intron 4 of 16)	7575	Crim1	cysteine rich transmembrane BMP regulator 1
chr17:83744530-83745030	chr17	83744530	83745030	Intron (ENSMUST00000112350.7/116871, intron 4 of 13)	-10604	Mta3	metastasis associated 3
chr17:85363835-85364335	chr17	85363835	85364335	Intron (ENSMUST00000095188.6/73582, intron 3 of 10)	-249273	Six3	sine oculis-related homeobox 3
chr17:85866990-85867490	chr17	85866990	85867490	Intron (ENSMUST00000234707.1/ENSMUST00000234707.1, intron 2 of 2)	172874	Srbd1	S1 RNA binding domain 1
chr17:86013962-86014462	chr17	86013962	86014462	Intron (ENSMUST00000234761.1/78586, intron 1 of 4)	25902	Srbd1	S1 RNA binding domain 1
chr17:86663400-86663900	chr17	86663400	86663900	Distal Intergenic	-89800	Epas1	endothelial PAS domain protein 1
chr17:86924617-86925117	chr17	86924617	86925117	Distal Intergenic	6208	Tmem247	transmembrane protein 247
chr17:89450789-89451289	chr17	89450789	89451289	Distal Intergenic	71548	Gm4719	predicted gene 4719
chr17:90127427-90127927	chr17	90127427	90127927	Intron (ENSMUST00000072671.13/18189, intron 19 of 20)	-39027	Nrxn1	neurexin I
chr17:94393682-94394182	chr17	94393682	94394182	Distal Intergenic	355710	Mettl4	methyltransferase 4, N6-adenosine
chr17:94656510-94657010	chr17	94656510	94657010	Distal Intergenic	92882	Mettl4	methyltransferase 4, N6-adenosine
chr17:94778888-94779388	chr17	94778888	94779388	Intron (ENSMUST00000234189.1/100038746, intron 3 of 4)	-14347	Gm1976	predicted gene 1976
chr18:12965902-12966402	chr18	12965902	12966402	Intron (ENSMUST00000234763.1/16210, intron 1 of 5)	-5521	Impact	impact, RWD domain protein
chr18:19531918-19532418	chr18	19531918	19532418	Distal Intergenic	469537	Dsc3	desmocollin 3
chr18:19545347-19545847	chr18	19545347	19545847	Distal Intergenic	456108	Dsc3	desmocollin 3
chr18:20575872-20576372	chr18	20575872	20576372	Intron (ENSMUST00000059787.14/13511, intron 3 of 14)	17626	Dsg2	desmoglein 2
chr18:21038730-21039230	chr18	21038730	21039230	Distal Intergenic	-22693	Mep1b	meprin 1 beta
chr18:24802414-24802914	chr18	24802414	24802914	Intron (ENSMUST00000037097.8/225288, intron 3 of 26)	92969	Fhod3	formin homology 2 domain containing 3
chr18:25242514-25243014	chr18	25242514	25243014	Intron (ENSMUST00000159605.7/225289, intron 4 of 8)	8599	AW554918	expressed sequence AW554918
chr18:25795702-25796202	chr18	25795702	25796202	Distal Intergenic	-41545	Celf4	CUGBP, Elav-like family member 4
chr18:28367918-28368418	chr18	28367918	28368418	Distal Intergenic	-494432	4930474G06Rik	RIKEN cDNA 4930474G06 gene
chr18:29299989-29300489	chr18	29299989	29300489	Distal Intergenic	-141711	4930527G23Rik	RIKEN cDNA 4930527G23 gene
chr18:29569927-29570427	chr18	29569927	29570427	Distal Intergenic	-73358	4930578E11Rik	RIKEN cDNA 4930578E11 gene
chr18:33766158-33766658	chr18	33766158	33766658	Distal Intergenic	-28234	Epb41l4aos	erythrocyte membrane protein band 4.1 like 4a, opposite strand
chr18:35676262-35676762	chr18	35676262	35676762	Intron (ENSMUST00000025208.6/76594, intron 7 of 7)	9981	Dnajc18	DnaJ heat shock protein family (Hsp40) member C18
chr18:38206136-38206636	chr18	38206136	38206636	Promoter (2-3kb)	-2296	Pcdh1	protocadherin 1
chr18:38268142-38268642	chr18	38268142	38268642	3' UTR	9317	Pcdh12	protocadherin 12
chr18:38475455-38475955	chr18	38475455	38475955	Distal Intergenic	24145	Ndfip1	Nedd4 family interacting protein 1
chr18:41208775-41209275	chr18	41208775	41209275	Distal Intergenic	685676	Kctd16	potassium channel tetramerisation domain containing 16
chr18:43219521-43220021	chr18	43219521	43220021	Intron (ENSMUST00000045477.5/269019, intron 2 of 12)	11844	Stk32a	serine/threonine kinase 32A
chr18:46967091-46967591	chr18	46967091	46967591	Intron (ENSMUST00000049388.8/69456, intron 3 of 6)	3535	Commd10	COMM domain containing 10
chr18:47065473-47065973	chr18	47065473	47065973	Intron (ENSMUST00000049388.8/69456, intron 5 of 6)	101917	Commd10	COMM domain containing 10
chr18:47166086-47166586	chr18	47166086	47166586	Intron (ENSMUST00000234124.1/69456, intron 6 of 6)	114609	Sema6a	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
chr18:50010771-50011271	chr18	50010771	50011271	Intron (ENSMUST00000148989.2/106869, intron 1 of 1)	-8296	Tnfaip8	tumor necrosis factor, alpha-induced protein 8
chr18:50212444-50212944	chr18	50212444	50212944	Distal Intergenic	21120	Hsd17b4	hydroxysteroid (17-beta) dehydrogenase 4
chr18:53903386-53903886	chr18	53903386	53903886	Intron (ENSMUST00000069597.7/70425, intron 3 of 12)	-28358	Csnk1g3	casein kinase 1, gamma 3
chr18:57920219-57920719	chr18	57920219	57920719	Intron (ENSMUST00000115366.2/20496, intron 16 of 26)	41541	Slc12a2	solute carrier family 12, member 2
chr18:65555768-65556268	chr18	65555768	65556268	Distal Intergenic	-23644	Zfp532	zinc finger protein 532
chr18:66335861-66336361	chr18	66335861	66336361	Distal Intergenic	-33120	Ccbe1	collagen and calcium binding EGF domains 1
chr18:67060001-67060501	chr18	67060001	67060501	Distal Intergenic	-27715	Gnal	guanine nucleotide binding protein, alpha stimulating, olfactory type
chr18:69436113-69436613	chr18	69436113	69436613	Intron (ENSMUST00000203002.3/21413, intron 3 of 6)	20216	Tcf4	transcription factor 4
chr18:69689739-69690239	chr18	69689739	69690239	Distal Intergenic	7359	Tcf4	transcription factor 4
chr18:78025581-78026081	chr18	78025581	78026081	Intron (ENSMUST00000044622.6/100502841, intron 39 of 43)	-4108	Epg5	ectopic P-granules 5 autophagy tethering factor
chr18:78300722-78301222	chr18	78300722	78301222	Intron (ENSMUST00000237674.1/27411, intron 3 of 21)	-91628	Slc14a2	solute carrier family 14 (urea transporter), member 2
chr18:80758526-80759026	chr18	80758526	80759026	Promoter (<=1kb)	961	Atp9b	ATPase, class II, type 9B
chr18:84332949-84333449	chr18	84332949	84333449	Intron (ENSMUST00000125450.8/240476, intron 2 of 2)	78971	Zfp407	zinc finger protein 407
chr18:85501744-85502244	chr18	85501744	85502244	Distal Intergenic	536234	Fbxo15	F-box protein 15
chr18:87399611-87400111	chr18	87399611	87400111	Distal Intergenic	686563	Cbln2	cerebellin 2 precursor protein
chr19:6005517-6006017	chr19	6005517	6006017	Intron (ENSMUST00000025891.9/12333, intron 10 of 21)	-6603	Gm10814	predicted gene 10814
chr19:10996413-10996913	chr19	10996413	10996913	Distal Intergenic	-3163	Ms4a15	membrane-spanning 4-domains, subfamily A, member 15
chr19:11431504-11432004	chr19	11431504	11432004	Distal Intergenic	-11549	Ms4a4b	membrane-spanning 4-domains, subfamily A, member 4B
chr19:15880971-15881471	chr19	15880971	15881471	Distal Intergenic	28241	Psat1	phosphoserine aminotransferase 1
chr19:16997919-16998419	chr19	16997919	16998419	Intron (ENSMUST00000224145.1/353211, intron 1 of 6)	41801	Prune2	prune homolog 2
chr19:18623854-18624354	chr19	18623854	18624354	Intron (ENSMUST00000236615.1/20409, intron 1 of 10)	7364	Ostf1	osteoclast stimulating factor 1
chr19:18969155-18969655	chr19	18969155	18969655	Intron (ENSMUST00000040153.14/225998, intron 4 of 9)	31445	Rorb	RAR-related orphan receptor beta
chr19:20402711-20403211	chr19	20402711	20403211	Promoter (2-3kb)	-2075	1500015L24Rik	RIKEN cDNA 1500015L24 gene
chr19:20413780-20414280	chr19	20413780	20414280	Promoter (2-3kb)	2510	1500015L24Rik	RIKEN cDNA 1500015L24 gene
chr19:20614239-20614739	chr19	20614239	20614739	Intron (ENSMUST00000225337.2/11668, intron 5 of 15)	12278	Aldh1a1	aldehyde dehydrogenase family 1, subfamily A1
chr19:21032246-21032746	chr19	21032246	21032746	Distal Intergenic	-71756	4930554I06Rik	RIKEN cDNA 4930554I06 gene
chr19:21127140-21127640	chr19	21127140	21127640	Intron (ENSMUST00000237231.1/ENSMUST00000237231.1, intron 2 of 4)	22430	4930554I06Rik	RIKEN cDNA 4930554I06 gene
chr19:24105772-24106272	chr19	24105772	24106272	Intron (ENSMUST00000233027.1/21873, intron 17 of 22)	36810	Tjp2	tight junction protein 2
chr19:25013576-25014076	chr19	25013576	25014076	Intron (ENSMUST00000025831.7/76088, intron 1 of 47)	14032	Dock8	dedicator of cytokinesis 8
chr19:25208036-25208536	chr19	25208036	25208536	Distal Intergenic	-28439	Kank1	KN motif and ankyrin repeat domains 1
chr19:27260451-27260951	chr19	27260451	27260951	Exon (ENSMUST00000235357.1/ENSMUST00000235357.1, exon 2 of 2)	21677	Vldlr	very low density lipoprotein receptor
chr19:27312598-27313098	chr19	27312598	27313098	Distal Intergenic	-9490	Kcnv2	potassium channel, subfamily V, member 2
chr19:28087270-28087770	chr19	28087270	28087770	Distal Intergenic	-76104	Rfx3	regulatory factor X, 3 (influences HLA class II expression)
chr19:29156676-29157176	chr19	29156676	29157176	Distal Intergenic	21397	Mir101b	microRNA 101b
chr19:31812208-31812708	chr19	31812208	31812708	Distal Intergenic	-47175	Prkg1	protein kinase, cGMP-dependent, type I
chr19:32088148-32088648	chr19	32088148	32088648	Intron (ENSMUST00000237104.1/54447, intron 2 of 23)	14476	Asah2	N-acylsphingosine amidohydrolase 2
chr19:34119946-34120446	chr19	34119946	34120446	Intron (ENSMUST00000237637.1/78753, intron 8 of 8)	19006	Lipm	lipase, family member M
chr19:37320939-37321439	chr19	37320939	37321439	Intron (ENSMUST00000131070.1/15925, intron 3 of 23)	-7366	Ide	insulin degrading enzyme
chr19:37553485-37553985	chr19	37553485	37553985	Intron (ENSMUST00000238954.1/107371, intron 2 of 22)	3026	Exoc6	exocyst complex component 6
chr19:38298532-38299032	chr19	38298532	38299032	Intron (ENSMUST00000198518.4/56839, intron 5 of 7)	33122	Lgi1	leucine-rich repeat LGI family, member 1
chr19:38460457-38460957	chr19	38460457	38460957	Distal Intergenic	-20164	Plce1	phospholipase C, epsilon 1
chr19:38766248-38766748	chr19	38766248	38766748	Intron (ENSMUST00000182481.7/74055, intron 25 of 32)	31334	Plce1	phospholipase C, epsilon 1
chr19:38787566-38788066	chr19	38787566	38788066	Distal Intergenic	31171	Noc3l	NOC3 like DNA replication regulator
chr19:40231363-40231863	chr19	40231363	40231863	Promoter (<=1kb)	-558	Pdlim1	PDZ and LIM domain 1 (elfin)
chr19:40793380-40793880	chr19	40793380	40793880	Intron (ENSMUST00000207801.1/ENSMUST00000207801.1, intron 16 of 25)	-37399	Ccnj	cyclin J
chr19:47463679-47464179	chr19	47463679	47464179	Promoter (<=1kb)	68	Sh3pxd2a	SH3 and PX domains 2A
chr19:49263876-49264376	chr19	49263876	49264376	Distal Intergenic	559660	Sorcs3	sortilin-related VPS10 domain containing receptor 3
chr19:54248469-54248969	chr19	54248469	54248969	Distal Intergenic	204318	Adra2a	adrenergic receptor, alpha 2a
chr19:58033059-58033559	chr19	58033059	58033559	Intron (ENSMUST00000077282.6/226255, intron 27 of 28)	-17608	Mir5623	microRNA 5623
chr19:58338055-58338555	chr19	58338055	58338555	Intron (ENSMUST00000026076.13/14585, intron 5 of 10)	115911	Gfra1	glial cell line derived neurotrophic factor family receptor alpha 1
chr19:59958918-59959418	chr19	59958918	59959418	Distal Intergenic	-15264	Rab11fip2	RAB11 family interacting protein 2 (class I)
chr19:60116397-60116897	chr19	60116397	60116897	Distal Intergenic	-27778	E330013P04Rik	RIKEN cDNA E330013P04 gene
chr2:3877255-3877755	chr2	3877255	3877755	Exon (ENSMUST00000141222.1/ENSMUST00000141222.1, exon 2 of 2)	103309	Fam107b	family with sequence similarity 107, member B
chr2:5930056-5930556	chr2	5930056	5930556	Promoter (<=1kb)	300	Dhtkd1	dehydrogenase E1 and transketolase domain containing 1
chr2:8178647-8179147	chr2	8178647	8179147	Distal Intergenic	-669084	Celf2	CUGBP, Elav-like family member 2
chr2:8222062-8222562	chr2	8222062	8222562	Distal Intergenic	-712499	Celf2	CUGBP, Elav-like family member 2
chr2:10209503-10210003	chr2	10209503	10210003	Intron (ENSMUST00000026886.7/209378, intron 7 of 13)	55932	Itih5	inter-alpha-trypsin inhibitor, heavy chain 5
chr2:10350821-10351321	chr2	10350821	10351321	Intron (ENSMUST00000137351.1/ENSMUST00000137351.1, intron 1 of 3)	-19189	Sfmbt2	Scm-like with four mbt domains 2
chr2:11162691-11163191	chr2	11162691	11163191	Distal Intergenic	-8917	Prkcq	protein kinase C, theta
chr2:11377272-11377772	chr2	11377272	11377772	Intron (ENSMUST00000192626.1/77543, intron 1 of 2)	20729	8030442B05Rik	RIKEN cDNA 8030442B05 gene
chr2:12938314-12938814	chr2	12938314	12938814	Intron (ENSMUST00000154269.6/19212, intron 1 of 5)	14213	Pter	phosphotriesterase related
chr2:16884712-16885212	chr2	16884712	16885212	Distal Intergenic	246016	Plxdc2	plexin domain containing 2
chr2:18265622-18266122	chr2	18265622	18266122	Intron (ENSMUST00000091418.11/13418, intron 8 of 12)	40894	Dnajc1	DnaJ heat shock protein family (Hsp40) member C1
chr2:19703960-19704460	chr2	19703960	19704460	Distal Intergenic	46208	Otud1	OTU domain containing 1
chr2:23094616-23095116	chr2	23094616	23095116	Promoter (<=1kb)	415	Acbd5	acyl-Coenzyme A binding domain containing 5
chr2:24787303-24787803	chr2	24787303	24787803	Distal Intergenic	18552	Ehmt1	euchromatic histone methyltransferase 1
chr2:24800623-24801123	chr2	24800623	24801123	Intron (ENSMUST00000147147.7/77683, intron 25 of 26)	5232	Ehmt1	euchromatic histone methyltransferase 1
chr2:35386022-35386522	chr2	35386022	35386522	Intron (ENSMUST00000113010.8/74854, intron 3 of 5)	10535	4930402F06Rik	RIKEN cDNA 4930402F06 gene
chr2:35452251-35452751	chr2	35452251	35452751	Intron (ENSMUST00000113002.8/14594, intron 1 of 7)	-6418	Ggta1	glycoprotein galactosyltransferase alpha 1, 3
chr2:36081683-36082183	chr2	36081683	36082183	3' UTR	12090	Lhx6	LIM homeobox protein 6
chr2:36117226-36117726	chr2	36117226	36117726	3' UTR	-11818	Lhx6	LIM homeobox protein 6
chr2:37587087-37587587	chr2	37587087	37587587	Promoter (<=1kb)	-569	Strbp	spermatid perinuclear RNA binding protein
chr2:43763480-43763980	chr2	43763480	43763980	Intron (ENSMUST00000112824.7/76117, intron 1 of 14)	14610	Arhgap15	Rho GTPase activating protein 15
chr2:45181510-45182010	chr2	45181510	45182010	Distal Intergenic	-64115	Zeb2	zinc finger E-box binding homeobox 2
chr2:49569882-49570382	chr2	49569882	49570382	Distal Intergenic	41007	Epc2	enhancer of polycomb homolog 2
chr2:50833731-50834231	chr2	50833731	50834231	Distal Intergenic	-75453	Gm13498	heat shock protein 90 alpha (cytosolic), class B member 1 pseudogene
chr2:52285670-52286170	chr2	52285670	52286170	Exon (ENSMUST00000036934.11/17996, exon 38 of 157)	-29514	Neb	nebulin
chr2:54215512-54216012	chr2	54215512	54216012	Distal Intergenic	-129960	Rprm	reprimo, TP53 dependent G2 arrest mediator candidate
chr2:61238965-61239465	chr2	61238965	61239465	Distal Intergenic	-263814	Gm13582	predicted gene 13582
chr2:63812580-63813080	chr2	63812580	63813080	Distal Intergenic	284908	Fign	fidgetin
chr2:65072411-65072911	chr2	65072411	65072911	Distal Intergenic	32948	Cobll1	Cobl-like 1
chr2:65382584-65383084	chr2	65382584	65383084	Distal Intergenic	-18184	Mir6337	microRNA 6337
chr2:70908430-70908930	chr2	70908430	70908930	Distal Intergenic	64458	Mettl8	methyltransferase 8, methylcytidine
chr2:70992763-70993263	chr2	70992763	70993263	Intron (ENSMUST00000100037.8/228019, intron 3 of 9)	-10579	Mettl8	methyltransferase 8, methylcytidine
chr2:72078040-72078540	chr2	72078040	72078540	Intron (ENSMUST00000090826.11/56508, intron 4 of 30)	23055	Rapgef4	Rap guanine nucleotide exchange factor (GEF) 4
chr2:74951191-74951691	chr2	74951191	74951691	Distal Intergenic	82210	Mtx2	metaxin 2
chr2:76185306-76185806	chr2	76185306	76185806	Intron (ENSMUST00000099992.9/241489, intron 5 of 19)	29588	Pde11a	phosphodiesterase 11A
chr2:76305393-76305893	chr2	76305393	76305893	Intron (ENSMUST00000099992.9/241489, intron 1 of 19)	32881	Pde11a	phosphodiesterase 11A
chr2:79567324-79567824	chr2	79567324	79567824	Distal Intergenic	-67528	Itprid2	ITPR interacting domain containing 2
chr2:79697983-79698483	chr2	79697983	79698483	Distal Intergenic	-9297	Ppp1r1c	protein phosphatase 1, regulatory inhibitor subunit 1C
chr2:90504680-90505180	chr2	90504680	90505180	Intron (ENSMUST00000168621.2/19271, intron 1 of 23)	-25510	Ptprj	protein tyrosine phosphatase receptor type J
chr2:90517348-90517848	chr2	90517348	90517848	Intron (ENSMUST00000168621.2/19271, intron 1 of 23)	-38178	Ptprj	protein tyrosine phosphatase receptor type J
chr2:90522080-90522580	chr2	90522080	90522580	Intron (ENSMUST00000168621.2/19271, intron 1 of 23)	-42910	Ptprj	protein tyrosine phosphatase receptor type J
chr2:91664909-91665409	chr2	91664909	91665409	Intron (ENSMUST00000111329.7/228359, intron 5 of 13)	-3107	Arhgap1	Rho GTPase activating protein 1
chr2:92554780-92555280	chr2	92554780	92555280	Distal Intergenic	-36926	Mir7221	microRNA 7221
chr2:92988187-92988687	chr2	92988187	92988687	Intron (ENSMUST00000111274.8/100042784, intron 5 of 6)	25223	Prdm11	PR domain containing 11
chr2:97089152-97089652	chr2	97089152	97089652	Intron (ENSMUST00000135431.7/241568, intron 3 of 6)	-378005	Lrrc4c	leucine rich repeat containing 4C
chr2:97653931-97654431	chr2	97653931	97654431	Distal Intergenic	185842	Lrrc4c	leucine rich repeat containing 4C
chr2:100032793-100033293	chr2	100032793	100033293	Distal Intergenic	1542832	Iftap	intraflagellar transport associated protein
chr2:101982780-101983280	chr2	101982780	101983280	Intron (ENSMUST00000111222.1/241576, intron 4 of 5)	96517	Commd9	COMM domain containing 9
chr2:103118526-103119026	chr2	103118526	103119026	Distal Intergenic	26690	Apip	APAF1 interacting protein
